Event Name;Event Type;Event Date;Affected Countries;Location;Country Coordinates(Lat);Country Coordinates(Long);Event Description
Cyclone Berit;Flood;2011-11-27 00:00:00;England;N/A;44;-71;"Storm surge
"
Cyclone Berit;Flood;2011-11-28 00:00:00;England;N/A;44;-71;"Storm surge
"
Cyclone Berit;Flood;2011-11-29 00:00:00;England;N/A;44;-71;"Storm surge
"
2012 Russian floods;Flood;2012-07-06 00:00:00;Russia;N/A;60;100;"Heavy rain
"
2012 Russian floods;Flood;2012-07-07 00:00:00;Russia;N/A;60;100;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-04-02 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-04-03 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-04-04 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-04-05 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-04-06 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-04-07 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-04-08 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-04-09 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-04-10 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-04-11 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-04-22 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-04-23 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-04-24 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-04-25 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-04-26 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-04-27 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-04-28 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-04-29 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-06-03 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-06-10 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-06-11 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-06-22 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-06-27 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-06-28 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-07-07 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-08-04 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-08-05 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-10-11 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-11-18 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-11-22 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-12-14 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Great Britain and Ireland floods;Flood;2012-12-19 00:00:00;United Kingdom,Ireland;N/A;54.75844,53;-2.69531,-8;"Heavy rain
"
2012 Romanian floods;Flood;2012-05-16 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-05-17 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-05-18 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-05-19 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-05-20 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-05-21 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-05-22 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-05-23 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-05-24 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-05-25 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-05-26 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-05-27 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-05-28 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-05-29 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-05-30 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-05-31 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-06-01 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-06-02 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-06-03 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-06-04 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-06-05 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-06-06 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-06-07 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-06-08 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-06-09 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-06-10 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-06-11 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2012 Romanian floods;Flood;2012-06-12 00:00:00;Romania;N/A;46;25;"Heavy rain
"
2013 European floods;Flood;2013-05-31 00:00:00;Germany,Czech Republic,Austria,Switzerland,Slovakia,Belarus,Poland,Hungary;N/A;51.5,49.75,47.33333,47.00016,48.66667,53,52,47;10.5,15,13.33333,8.01427,19.5,28,20,20;"Heavy rain
"
2013 European floods;Flood;2013-06-01 00:00:00;Germany,Czech Republic,Austria,Switzerland,Slovakia,Belarus,Poland,Hungary;N/A;51.5,49.75,47.33333,47.00016,48.66667,53,52,47;10.5,15,13.33333,8.01427,19.5,28,20,20;"Heavy rain
"
2013 European floods;Flood;2013-06-02 00:00:00;Germany,Czech Republic,Austria,Switzerland,Slovakia,Belarus,Poland,Hungary;N/A;51.5,49.75,47.33333,47.00016,48.66667,53,52,47;10.5,15,13.33333,8.01427,19.5,28,20,20;"Heavy rain
"
2014 Southeast Europe floods;Flood;2014-05-13 00:00:00;Bosnia and Herzegovina,Croatia,Serbia,Romania;N/A;44.25,45.16667,44.81892,46;17.83333,15.5,20.45998,25;"Heavy rain
"
2014 Southeast Europe floods;Flood;2014-05-14 00:00:00;Bosnia and Herzegovina,Croatia,Serbia,Romania;N/A;44.25,45.16667,44.81892,46;17.83333,15.5,20.45998,25;"Heavy rain
"
2014 Southeast Europe floods;Flood;2014-05-15 00:00:00;Bosnia and Herzegovina,Croatia,Serbia,Romania;N/A;44.25,45.16667,44.81892,46;17.83333,15.5,20.45998,25;"Heavy rain
"
2014 Southeast Europe floods;Flood;2014-05-16 00:00:00;Bosnia and Herzegovina,Croatia,Serbia,Romania;N/A;44.25,45.16667,44.81892,46;17.83333,15.5,20.45998,25;"Heavy rain
"
2014 Southeast Europe floods;Flood;2014-05-17 00:00:00;Bosnia and Herzegovina,Croatia,Serbia,Romania;N/A;44.25,45.16667,44.81892,46;17.83333,15.5,20.45998,25;"Heavy rain
"
2014 Southeast Europe floods;Flood;2014-05-18 00:00:00;Bosnia and Herzegovina,Croatia,Serbia,Romania;N/A;44.25,45.16667,44.81892,46;17.83333,15.5,20.45998,25;"Heavy rain
"
2014 Southeast Europe floods;Flood;2014-05-19 00:00:00;Bosnia and Herzegovina,Croatia,Serbia,Romania;N/A;44.25,45.16667,44.81892,46;17.83333,15.5,20.45998,25;"Heavy rain
"
2014 Southeast Europe floods;Flood;2014-05-20 00:00:00;Bosnia and Herzegovina,Croatia,Serbia,Romania;N/A;44.25,45.16667,44.81892,46;17.83333,15.5,20.45998,25;"Heavy rain
"
2014 Southeast Europe floods;Flood;2014-05-21 00:00:00;Bosnia and Herzegovina,Croatia,Serbia,Romania;N/A;44.25,45.16667,44.81892,46;17.83333,15.5,20.45998,25;"Heavy rain
"
2014 Southeast Europe floods;Flood;2014-05-22 00:00:00;Bosnia and Herzegovina,Croatia,Serbia,Romania;N/A;44.25,45.16667,44.81892,46;17.83333,15.5,20.45998,25;"Heavy rain
"
2014 Southeast Europe floods;Flood;2014-05-23 00:00:00;Bosnia and Herzegovina,Croatia,Serbia,Romania;N/A;44.25,45.16667,44.81892,46;17.83333,15.5,20.45998,25;"Heavy rain
"
2014 Southeast Europe floods;Flood;2014-05-24 00:00:00;Bosnia and Herzegovina,Croatia,Serbia,Romania;N/A;44.25,45.16667,44.81892,46;17.83333,15.5,20.45998,25;"Heavy rain
"
2014 Southeast Europe floods;Flood;2014-05-25 00:00:00;Bosnia and Herzegovina,Croatia,Serbia,Romania;N/A;44.25,45.16667,44.81892,46;17.83333,15.5,20.45998,25;"Heavy rain
"
2014 Southeast Europe floods;Flood;2014-05-26 00:00:00;Bosnia and Herzegovina,Croatia,Serbia,Romania;N/A;44.25,45.16667,44.81892,46;17.83333,15.5,20.45998,25;"Heavy rain
"
2014 Southeast Europe floods;Flood;2014-05-27 00:00:00;Bosnia and Herzegovina,Croatia,Serbia,Romania;N/A;44.25,45.16667,44.81892,46;17.83333,15.5,20.45998,25;"Heavy rain
"
2014 Bulgarian floods;Flood;2014-06-17 00:00:00;Bulgaria;N/A;42.66667;25.25;"Heavy rain
"
2014 Bulgarian floods;Flood;2014-06-18 00:00:00;Bulgaria;N/A;42.66667;25.25;"Heavy rain
"
2014 Bulgarian floods;Flood;2014-06-19 00:00:00;Bulgaria;N/A;42.66667;25.25;"Heavy rain
"
2014 Bulgarian floods;Flood;2014-06-20 00:00:00;Bulgaria;N/A;42.66667;25.25;"Heavy rain
"
2016 European floods;Flood;2016-06-02 00:00:00;Austria,Belgium,France,Germany,Moldova,Romania;N/A;47.33333,50.75,46,51.5,47.25,46;13.33333,4.5,2,10.5,28.58333,25;"Heavy rain
"
2016 Macedonian floods;Flood;2016-08-06 00:00:00;Republic of Macedonia;N/A;41.66667;21.75;"Heavy rain
"
2016 Macedonian floods;Flood;2016-08-07 00:00:00;Republic of Macedonia;N/A;41.66667;21.75;"Heavy rain
"
2016 Macedonian floods;Flood;2016-08-08 00:00:00;Republic of Macedonia;N/A;41.66667;21.75;"Heavy rain
"
2016 Macedonian floods;Flood;2016-08-09 00:00:00;Republic of Macedonia;N/A;41.66667;21.75;"Heavy rain
"
2016 Macedonian floods;Flood;2016-08-10 00:00:00;Republic of Macedonia;N/A;41.66667;21.75;"Heavy rain
"
2017 West Attica floods;Flood;2017-11-11 00:00:00;Greece;N/A;39;22;"Heavy rain
"
2017 West Attica floods;Flood;2017-11-12 00:00:00;Greece;N/A;39;22;"Heavy rain
"
2017 West Attica floods;Flood;2017-11-13 00:00:00;Greece;N/A;39;22;"Heavy rain
"
2017 West Attica floods;Flood;2017-11-14 00:00:00;Greece;N/A;39;22;"Heavy rain
"
2017 West Attica floods;Flood;2017-11-15 00:00:00;Greece;N/A;39;22;"Heavy rain
"
2017 West Attica floods;Flood;2017-11-16 00:00:00;Greece;N/A;39;22;"Heavy rain
"
2017 West Attica floods;Flood;2017-11-17 00:00:00;Greece;N/A;39;22;"Heavy rain
"
2017 West Attica floods;Flood;2017-11-18 00:00:00;Greece;N/A;39;22;"Heavy rain
"
2017 West Attica floods;Flood;2017-11-19 00:00:00;Greece;N/A;39;22;"Heavy rain
"
2017 West Attica floods;Flood;2017-11-20 00:00:00;Greece;N/A;39;22;"Heavy rain
"
2018 European floods;Flood;2018-10-04 00:00:00;Spain,France,Italy;N/A;40,46,42.83333;-4,2,12.83333;"Heavy rain
"
2018 European floods;Flood;2018-10-05 00:00:00;Spain,France,Italy;N/A;40,46,42.83333;-4,2,12.83333;"Heavy rain
"
2018 European floods;Flood;2018-10-06 00:00:00;Spain,France,Italy;N/A;40,46,42.83333;-4,2,12.83333;"Heavy rain
"
2018 European floods;Flood;2018-10-07 00:00:00;Spain,France,Italy;N/A;40,46,42.83333;-4,2,12.83333;"Heavy rain
"
2018 European floods;Flood;2018-10-08 00:00:00;Spain,France,Italy;N/A;40,46,42.83333;-4,2,12.83333;"Heavy rain
"
2018 European floods;Flood;2018-10-09 00:00:00;Spain,France,Italy;N/A;40,46,42.83333;-4,2,12.83333;"Heavy rain
"
2018 European floods;Flood;2018-10-10 00:00:00;Spain,France,Italy;N/A;40,46,42.83333;-4,2,12.83333;"Heavy rain
"
2018 European floods;Flood;2018-10-11 00:00:00;Spain,France,Italy;N/A;40,46,42.83333;-4,2,12.83333;"Heavy rain
"
2018 European floods;Flood;2018-10-12 00:00:00;Spain,France,Italy;N/A;40,46,42.83333;-4,2,12.83333;"Heavy rain
"
2018 European floods;Flood;2018-10-13 00:00:00;Spain,France,Italy;N/A;40,46,42.83333;-4,2,12.83333;"Heavy rain
"
2018 European floods;Flood;2018-10-14 00:00:00;Spain,France,Italy;N/A;40,46,42.83333;-4,2,12.83333;"Heavy rain
"
Storm Gloria;Flood;2020-01-09 00:00:00;Spain,France;N/A;40,46;-4,2;"Heavy rain, storm surge
"
Storm Gloria;Flood;2020-01-10 00:00:00;Spain,France;N/A;40,46;-4,2;"Heavy rain, storm surge
"
Storm Gloria;Flood;2020-01-11 00:00:00;Spain,France;N/A;40,46;-4,2;"Heavy rain, storm surge
"
Storm Gloria;Flood;2020-01-12 00:00:00;Spain,France;N/A;40,46;-4,2;"Heavy rain, storm surge
"
Storm Gloria;Flood;2020-01-13 00:00:00;Spain,France;N/A;40,46;-4,2;"Heavy rain, storm surge
"
Storm Gloria;Flood;2020-01-14 00:00:00;Spain,France;N/A;40,46;-4,2;"Heavy rain, storm surge
"
Storm Gloria;Flood;2020-01-15 00:00:00;Spain,France;N/A;40,46;-4,2;"Heavy rain, storm surge
"
Storm Gloria;Flood;2020-01-16 00:00:00;Spain,France;N/A;40,46;-4,2;"Heavy rain, storm surge
"
Storm Gloria;Flood;2020-01-17 00:00:00;Spain,France;N/A;40,46;-4,2;"Heavy rain, storm surge
"
Storm Gloria;Flood;2020-01-18 00:00:00;Spain,France;N/A;40,46;-4,2;"Heavy rain, storm surge
"
Storm Gloria;Flood;2020-01-19 00:00:00;Spain,France;N/A;40,46;-4,2;"Heavy rain, storm surge
"
Storm Gloria;Flood;2020-01-20 00:00:00;Spain,France;N/A;40,46;-4,2;"Heavy rain, storm surge
"
Storm Gloria;Flood;2020-01-21 00:00:00;Spain,France;N/A;40,46;-4,2;"Heavy rain, storm surge
"
Storm Gloria;Flood;2020-01-22 00:00:00;Spain,France;N/A;40,46;-4,2;"Heavy rain, storm surge
"
Storm Gloria;Flood;2020-01-23 00:00:00;Spain,France;N/A;40,46;-4,2;"Heavy rain, storm surge
"
Storm Gloria;Flood;2020-01-24 00:00:00;Spain,France;N/A;40,46;-4,2;"Heavy rain, storm surge
"
Storm Gloria;Flood;2020-01-25 00:00:00;Spain,France;N/A;40,46;-4,2;"Heavy rain, storm surge
"
